Date,BTC,ETH,LTC,XRP
2019-04-29 08-PM,5128.07,151.84,65.81,0.287
2019-04-29 07-PM,5130.12,152.79,66.03,0.2873
2019-04-29 06-PM,5154.4,152.95,66.64,0.289
2019-04-29 05-PM,5153.35,153.71,66.64,0.2884
2019-04-29 04-PM,5147.1,153.27,66.48,0.2882
2019-04-29 03-PM,5153.02,151.21,66.17,0.2878
2019-04-29 02-PM,5139.68,151.25,66.25,0.2867
2019-04-29 01-PM,5155.93,151.11,66.14,0.2868
2019-04-29 12-PM,5144.03,150.75,66.2,0.2869
2019-04-29 11-AM,5126.01,151.77,65.64,0.286
2019-04-29 10-AM,5154,151.79,66.89,0.2891
2019-04-29 09-AM,5144,153.18,66.75,0.2892
2019-04-29 08-AM,5157.52,153.45,67.67,0.2906
2019-04-29 07-AM,5165,153.53,67.93,0.2905
2019-04-29 06-AM,5160,154.1,68.18,0.2904
2019-04-29 05-AM,5181.59,154.19,68.07,0.291
2019-04-29 04-AM,5181.58,154.54,68.27,0.2917
2019-04-29 03-AM,5183.59,154.28,68.38,0.2913
2019-04-29 02-AM,5177.61,153.94,68.04,0.2904
2019-04-29 01-AM,5176,153.52,67.91,0.2912
2019-04-29 12-AM,5174.53,153.77,67.45,0.2914
2019-04-28 11-PM,5168.84,153.13,67.7,0.2918
2019-04-28 10-PM,5160.98,153.57,67.64,0.2902
2019-04-28 09-PM,5151.19,153.5,67.44,0.2903
2019-04-28 08-PM,5138.21,153.72,66.92,0.2875
2019-04-28 07-PM,5123.97,153.66,67.33,0.2882
2019-04-28 06-PM,5144.28,154.15,67.33,0.2891
2019-04-28 05-PM,5165.73,154.35,67.98,0.2893
2019-04-28 04-PM,5174.28,154.15,68.03,0.2901
2019-04-28 03-PM,5182.25,154.9,67.91,0.2902
2019-04-28 02-PM,5194.49,154.1,68.5,0.2909
2019-04-28 01-PM,5160.46,154.42,67.94,0.29
2019-04-28 12-PM,5161,155.6,67.94,0.2903
2019-04-28 11-AM,5191.35,156.15,70.23,0.2922
2019-04-28 10-AM,5209.14,155.64,70.55,0.2935
2019-04-28 09-AM,5196.58,155.5,70.31,0.2934
2019-04-28 08-AM,5177.38,155.71,69.82,0.2921
2019-04-28 07-AM,5183.66,155.45,70.05,0.2918
2019-04-28 06-AM,5181.6,154.98,70.22,0.2923
2019-04-28 05-AM,5173.59,155.1,69.69,0.2921
2019-04-28 04-AM,5172.69,155.2,69.86,0.2921
2019-04-28 03-AM,5164.6,155.3,70.46,0.2929
2019-04-28 02-AM,5174.25,154.96,70.54,0.292
2019-04-28 01-AM,5161.83,155.55,69.81,0.2913
2019-04-28 12-AM,5178.39,155.85,70.12,0.2922
2019-04-27 11-PM,5180.06,155.68,70.77,0.2925
2019-04-27 10-PM,5168.91,156.14,70.27,0.2919
2019-04-27 09-PM,5200,156.95,70.94,0.2918
2019-04-27 08-PM,5207.15,157.5,70.67,0.2917
2019-04-27 07-PM,5199.73,157.58,70.85,0.2898
2019-04-27 06-PM,5202.68,156.15,71.03,0.2929
2019-04-27 05-PM,5170.83,156.66,71.18,0.2925
2019-04-27 04-PM,5177.72,154.8,71.23,0.2935
2019-04-27 03-PM,5163.94,153.74,71.09,0.2911
2019-04-27 02-PM,5150.22,153.57,71.13,0.2913
2019-04-27 01-PM,5164,153.59,71.12,0.2918
2019-04-27 12-PM,5153.71,153.06,70.88,0.2911
2019-04-27 11-AM,5147.18,153.3,70.64,0.2907
2019-04-27 10-AM,5154.34,153.82,70.91,0.2909
2019-04-27 09-AM,5160.44,153.7,70.91,0.2915
