Date,BTC,ETH,LTC,XRP
2019-04-29 10-AM,5157.52,151.79,66.75,0.2892
2019-04-29 09-AM,5165,153.18,67.67,0.2906
2019-04-29 08-AM,5160,153.45,67.93,0.2905
2019-04-29 07-AM,5181.59,153.53,68.18,0.2904
2019-04-29 06-AM,5181.58,154.1,68.07,0.291
2019-04-29 05-AM,5183.59,154.19,68.27,0.2917
2019-04-29 04-AM,5177.61,154.54,68.38,0.2913
2019-04-29 03-AM,5176,154.28,68.04,0.2904
2019-04-29 02-AM,5174.53,153.94,67.91,0.2912
2019-04-29 01-AM,5168.84,153.52,67.45,0.2914
2019-04-29 12-AM,5160.98,153.77,67.7,0.2918
2019-04-28 11-PM,5151.19,153.13,67.64,0.2902
2019-04-28 10-PM,5138.21,153.57,67.44,0.2903
2019-04-28 09-PM,5123.97,153.5,66.92,0.2875
2019-04-28 08-PM,5144.28,153.72,67.33,0.2882
2019-04-28 07-PM,5165.73,153.66,67.33,0.2891
2019-04-28 06-PM,5174.28,154.15,67.98,0.2893
2019-04-28 05-PM,5182.25,154.35,68.03,0.2901
2019-04-28 04-PM,5194.49,154.15,67.91,0.2902
2019-04-28 03-PM,5160.46,154.9,68.5,0.2909
2019-04-28 02-PM,5161,154.1,67.94,0.29
2019-04-28 01-PM,5191.35,154.42,67.94,0.2903
2019-04-28 12-PM,5209.14,155.6,70.23,0.2922
2019-04-28 11-AM,5196.58,156.15,70.55,0.2935
2019-04-28 10-AM,5177.38,155.64,70.31,0.2934
2019-04-28 09-AM,5183.66,155.5,69.82,0.2921
2019-04-28 08-AM,5181.6,155.71,70.05,0.2918
2019-04-28 07-AM,5173.59,155.45,70.22,0.2923
2019-04-28 06-AM,5172.69,154.98,69.69,0.2921
2019-04-28 05-AM,5164.6,155.1,69.86,0.2921
2019-04-28 04-AM,5174.25,155.2,70.46,0.2929
2019-04-28 03-AM,5161.83,155.3,70.54,0.292
2019-04-28 02-AM,5178.39,154.96,69.81,0.2913
2019-04-28 01-AM,5180.06,155.55,70.12,0.2922
2019-04-28 12-AM,5168.91,155.85,70.77,0.2925
2019-04-27 11-PM,5200,155.68,70.27,0.2919
2019-04-27 10-PM,5207.15,156.14,70.94,0.2918
2019-04-27 09-PM,5199.73,156.95,70.67,0.2917
2019-04-27 08-PM,5202.68,157.5,70.85,0.2898
2019-04-27 07-PM,5170.83,157.58,71.03,0.2929
2019-04-27 06-PM,5177.72,156.15,71.18,0.2925
2019-04-27 05-PM,5163.94,156.66,71.23,0.2935
2019-04-27 04-PM,5150.22,154.8,71.09,0.2911
2019-04-27 03-PM,5164,153.74,71.13,0.2913
2019-04-27 02-PM,5153.71,153.57,71.12,0.2918
2019-04-27 01-PM,5147.18,153.59,70.88,0.2911
2019-04-27 12-PM,5154.34,153.06,70.64,0.2907
2019-04-27 11-AM,5160.44,153.3,70.91,0.2909
2019-04-27 10-AM,5146.46,153.82,70.91,0.2915
2019-04-27 09-AM,5164.99,153.7,70.63,0.2915
2019-04-27 08-AM,5174.96,153.13,70.76,0.2923
2019-04-27 07-AM,5167.37,154.02,71.38,0.2933
2019-04-27 06-AM,5156.06,153.99,71.15,0.2935
2019-04-27 05-AM,5140.77,153.72,71.3,0.2933
2019-04-27 04-AM,5144.72,153.45,70.86,0.292
2019-04-27 03-AM,5148.06,153.19,71.18,0.2915
2019-04-27 02-AM,5148.71,152.5,71.01,0.2919
2019-04-27 01-AM,5147.48,153.11,71.09,0.2938
2019-04-27 12-AM,5155.19,152.87,71.56,0.294
2019-04-26 11-PM,5147.04,153.1,71.7,0.2938
2019-04-26 10-PM,5123.69,152.88,71.45,0.292
2019-04-26 09-PM,5098.1,152.58,71.28,0.2928
2019-04-26 08-PM,5081.38,151.01,70.68,0.2902
2019-04-26 07-PM,5072.53,150.02,70.19,0.2891
2019-04-26 06-PM,5098.64,150.24,70.33,0.2893
2019-04-26 05-PM,5103.84,151.61,70.78,0.2905
2019-04-26 04-PM,5137.57,151.39,70.67,0.2895
2019-04-26 03-PM,5166,151.49,70.69,0.288
2019-04-26 02-PM,5166.05,152.23,71.01,0.2894
2019-04-26 01-PM,5175,152.48,71.47,0.2898
2019-04-26 12-PM,5156,152.49,71.25,0.2905
2019-04-26 11-AM,5159.97,151.26,71.19,0.2888
2019-04-26 10-AM,5168.04,151.88,70.95,0.2893
2019-04-26 09-AM,5176.55,151.89,70.93,0.2876
2019-04-26 08-AM,5161.89,152.35,71.25,0.2875
2019-04-26 07-AM,5178.3,152.28,71.37,0.2868
2019-04-26 06-AM,5192,152.28,71.17,0.2868
2019-04-26 05-AM,5176.79,153.11,71.46,0.2881
2019-04-26 04-AM,5204.82,152.96,71.38,0.2874
2019-04-26 03-AM,5219.52,152.6,72.1,0.2891
2019-04-26 02-AM,5143.14,152.59,72.01,0.2885
2019-04-26 01-AM,5119.7,151.94,70.29,0.2878
2019-04-26 12-AM,5132.55,150.59,70,0.2878
2019-04-25 11-PM,5124.51,152,70.75,0.2865
