,Year,Team,CapRoom
149,2019,broncos,23.38000000000001
150,2005,lions,32.19000000000001
151,2006,lions,45.04
152,2007,lions,26.25
153,2008,lions,41.040000000000006
154,2009,lions,14.920000000000016
155,2010,lions,1.3299999999999983
156,2011,lions,-2.1500000000000057
157,2012,lions,-10.019999999999996
158,2013,lions,3.1099999999999994
159,2014,lions,7.5
160,2015,lions,1.1300000000000097
161,2016,lions,5.310000000000002
162,2017,lions,4.450000000000017
163,2018,lions,3.5200000000000102
164,2019,lions,9.5
165,2005,packers,33.34
166,2006,packers,28.179999999999993
167,2007,packers,33.56999999999999
168,2008,packers,24.39
169,2009,packers,5.410000000000011
170,2010,packers,-9.750000000000028
171,2011,packers,9.959999999999994
172,2012,packers,2.749999999999986
173,2013,packers,10.510000000000005
174,2014,packers,6.290000000000006
175,2015,packers,7.109999999999999
176,2016,packers,6.170000000000002
177,2017,packers,4.269999999999982
178,2018,packers,11.329999999999998
179,2019,packers,12.650000000000006
180,2005,texans,71.8
181,2006,texans,61.0
182,2007,texans,53.97
183,2008,texans,46.169999999999995
184,2009,texans,29.220000000000013
185,2010,texans,7.040000000000006
186,2011,texans,0.9300000000000068
187,2012,texans,-2.739999999999995
188,2013,texans,2.6400000000000006
189,2014,texans,17.75999999999999
190,2015,texans,14.769999999999996
191,2016,texans,9.129999999999981
192,2017,texans,16.319999999999993
193,2018,texans,8.529999999999973
194,2019,texans,9.659999999999982
195,2005,colts,41.07999999999999
196,2006,colts,36.22000000000001
197,2007,colts,27.47999999999999
198,2008,colts,8.370000000000005
199,2009,colts,3.9599999999999937
200,2010,colts,-5.540000000000006
201,2011,colts,3.950000000000017
202,2012,colts,-0.4700000000000273
203,2013,colts,6.609999999999999
204,2014,colts,11.980000000000004
205,2015,colts,6.009999999999991
206,2016,colts,15.810000000000002
207,2017,colts,26.260000000000005
208,2018,colts,26.209999999999994
209,2019,colts,17.570000000000007
210,2005,jaguars,52.760000000000005
211,2006,jaguars,35.57000000000001
212,2007,jaguars,37.05
213,2008,jaguars,17.67
214,2009,jaguars,27.040000000000006
215,2010,jaguars,29.540000000000006
216,2011,jaguars,42.39
217,2012,jaguars,-1.6300000000000097
218,2013,jaguars,42.31000000000001
219,2014,jaguars,15.710000000000008
220,2015,jaguars,19.239999999999995
221,2016,jaguars,23.61
222,2017,jaguars,17.16000000000001
223,2018,jaguars,3.6099999999999994
224,2019,jaguars,5.3500000000000085
225,2005,chiefs,61.760000000000005
226,2006,chiefs,68.46000000000001
227,2007,chiefs,54.28
228,2008,chiefs,46.09
229,2009,chiefs,39.740000000000016
230,2010,chiefs,24.169999999999987
231,2011,chiefs,29.749999999999986
232,2012,chiefs,-19.380000000000024
233,2013,chiefs,15.260000000000005
234,2014,chiefs,9.179999999999993
235,2015,chiefs,19.379999999999995
236,2016,chiefs,5.010000000000005
237,2017,chiefs,10.879999999999995
238,2018,chiefs,2.7400000000000233
239,2019,chiefs,23.72
240,2005,raiders,56.96999999999999
241,2006,raiders,47.36
242,2007,raiders,37.93
243,2008,raiders,26.379999999999995
244,2009,raiders,14.470000000000013
245,2010,raiders,-10.32999999999997
246,2011,raiders,11.359999999999985
247,2012,raiders,5.099999999999994
248,2013,raiders,6.759999999999991
249,2014,raiders,8.469999999999985
250,2015,raiders,12.670000000000002
251,2016,raiders,5.5400000000000205
252,2017,raiders,6.659999999999982
253,2018,raiders,19.72999999999999
254,2019,raiders,10.489999999999995
255,2005,chargers,50.690000000000005
256,2006,chargers,46.60999999999999
257,2007,chargers,31.150000000000006
258,2008,chargers,21.929999999999993
259,2009,chargers,15.799999999999997
260,2010,chargers,11.030000000000001
261,2011,chargers,0.8099999999999881
262,2012,chargers,-2.4799999999999898
263,2013,chargers,5.409999999999997
264,2014,chargers,12.810000000000002
265,2015,chargers,1.539999999999992
266,2016,chargers,9.699999999999989
267,2017,chargers,18.450000000000003
268,2018,chargers,1.7900000000000063
269,2019,chargers,6.710000000000008
270,2005,rams,44.07
271,2006,rams,39.989999999999995
272,2007,rams,33.609999999999985
273,2008,rams,31.25
274,2009,rams,16.090000000000003
275,2010,rams,17.210000000000008
276,2011,rams,14.579999999999998
277,2012,rams,1.509999999999991
278,2013,rams,-0.46000000000000796
279,2014,rams,1.049999999999983
280,2015,rams,11.780000000000015
281,2016,rams,18.989999999999995
282,2017,rams,3.5400000000000063
283,2018,rams,0.9599999999999937
284,2019,rams,4.459999999999994
285,2005,dolphins,63.78
286,2006,dolphins,61.559999999999995
287,2007,dolphins,56.21000000000001
288,2008,dolphins,31.11999999999999
289,2009,dolphins,7.320000000000007
290,2010,dolphins,-0.8199999999999932
291,2011,dolphins,-2.6999999999999886
292,2012,dolphins,8.920000000000002
