AAV,Age,CapPerc,Dollars,From,Player,Position,To,Year,Years
700000.0,30,0.58,700000.0,MIN,Greg Camarillo,WR,NO,2012.0,1.0
700000.0,27,0.58,700000.0,BUF,Derek Hagan,WR,OAK,2012.0,1.0
700000.0,27,0.58,700000.0,TB,Brandon McDonald,CB,TB,2012.0,1.0
700000.0,30,0.58,700000.0,NE,Lousaka Polite,RB,ATL,2012.0,1.0
700000.0,27,0.58,700000.0,WAS,Edgar Jones,OLB,KC,2012.0,1.0
700000.0,28,0.58,700000.0,KC,Jackie Battle,FB,SD,2012.0,1.0
700000.0,28,0.58,700000.0,MIN,Lorenzo Booker,RB,CHI,2012.0,1.0
700000.0,28,0.58,700000.0,BUF,Reggie Corner,CB,JAC,2012.0,1.0
700000.0,29,0.58,700000.0,WAS,Rocky McIntosh,OLB,STL,2012.0,1.0
700000.0,29,0.58,700000.0,CIN,Brandon Johnson,LB,PIT,2012.0,1.0
700000.0,26,0.58,700000.0,TB,Elbert Mack,CB,NO,2012.0,1.0
700000.0,27,0.58,700000.0,KC,Wallace Gilberry,DE,TB,2012.0,1.0
700000.0,27,0.58,700000.0,DET,Maurice Stovall,WR,DET,2012.0,1.0
700000.0,26,0.58,700000.0,SEA,Justin Forsett,RB,HOU,2012.0,1.0
700000.0,27,0.58,700000.0,HOU,Alan Ball,CB,HOU,2012.0,1.0
700000.0,32,0.58,700000.0,IND,George Foster,T,IND,2012.0,1.0
700000.0,27,0.58,700000.0,TB,Corey Lynch,S,SD,2012.0,1.0
700000.0,28,0.58,700000.0,OAK,Stephon Heyer,T,NYJ,2012.0,1.0
700000.0,27,0.58,700000.0,IND,Jamey Richard,G,NE,2012.0,1.0
700000.0,27,0.58,700000.0,PHI,Owen Schmitt,FB,OAK,2012.0,1.0
700000.0,31,0.58,700000.0,HOU,John Beck,QB,HOU,2012.0,1.0
700000.0,29,0.58,700000.0,MIN,Remi Ayodele,DT,NO,2012.0,1.0
700000.0,27,0.58,700000.0,TB,Zac Diles,ILB,TEN,2012.0,1.0
700000.0,29,0.58,700000.0,HOU,Matt Leinart,QB,OAK,2012.0,1.0
700000.0,28,0.58,700000.0,STL,Bryan Kehl,ILB,WAS,2012.0,1.0
700000.0,26,0.58,700000.0,SF,Chilo Rachal,G,CHI,2012.0,1.0
700000.0,29,0.58,700000.0,TEN,Courtney Roby,WR,NO,2012.0,1.0
700000.0,29,0.58,700000.0,HOU,Tim Dobbins,ILB,HOU,2012.0,1.0
700000.0,27,0.58,700000.0,PHI,Trevor Laws,DT,STL,2012.0,1.0
700000.0,27,0.58,700000.0,NE,Antwaun Molden,CB,NYG,2012.0,1.0
700000.0,27,0.58,700000.0,TB,James Lee,T,WAS,2012.0,1.0
700000.0,26,0.58,700000.0,JAC,Leger Douzable,DT,TEN,2012.0,1.0
700000.0,30,0.58,700000.0,BUF,Roscoe Parrish,WR,SD,2012.0,1.0
700000.0,27,0.58,700000.0,IND,Philip Wheeler,OLB,OAK,2012.0,1.0
700000.0,28,0.58,700000.0,NYJ,Robert Turner,C,STL,2012.0,1.0
700000.0,29,0.58,700000.0,DEN,Jason Hunter,DE,DEN,2012.0,1.0
700000.0,27,0.58,700000.0,BUF,Tashard Choice,RB,BUF,2012.0,1.0
700000.0,28,0.58,700000.0,MIN,Devin Aromashodu,WR,MIN,2012.0,1.0
700000.0,30,0.58,700000.0,ARI,D'Anthony Batiste,G,ARI,2012.0,1.0
700000.0,28,0.58,700000.0,STL,Quinn Ojinnaka,T,STL,2012.0,1.0
700000.0,26,0.58,700000.0,IND,Jerome Felton,FB,MIN,2012.0,1.0
700000.0,27,0.58,700000.0,MIA,Dante Rosario,TE,SD,2012.0,1.0
