Airline,Origin,Destination,Delay
WN,HOU,SEA,9.46
WN,STL,SEA,9.45
WN,DAL,PHL,9.44
WN,HOU,CLT,9.44
WN,LAS,CMH,9.41
WN,SJC,ABQ,9.4
WN,MCO,ISP,9.39
WN,STL,CMH,9.39
WN,LGA,IND,9.38
WN,MCO,DCA,9.37
WN,LAS,TUS,9.37
WN,OKC,MDW,9.36
WN,LAX,SJC,9.36
WN,RSW,PVD,9.35
WN,TPA,SAT,9.33
WN,LAX,DEN,9.32
WN,LAS,ONT,9.31
WN,AUS,BOS,9.29
WN,DAL,OAK,9.28
WN,STL,DCA,9.27
WN,DAL,SNA,9.26
WN,LAX,SMF,9.26
WN,MKE,LGA,9.25
WN,DEN,FLL,9.23
WN,ABQ,PHX,9.18
WN,MDW,PVD,9.18
WN,ATL,MCO,9.18
WN,LAX,OAK,9.18
WN,ATL,DAL,9.17
WN,SAN,TUS,9.16
WN,MDW,IND,9.16
WN,DAL,DCA,9.16
WN,ATL,BOS,9.16
WN,DAL,RNO,9.15
WN,SEA,SMF,9.15
WN,ATL,FLL,9.15
WN,LAS,ICT,9.14
WN,RNO,LAX,9.13
WN,DAL,TUL,9.12
WN,LAS,TPA,9.12
WN,STL,ECP,9.12
WN,HOU,FLL,9.12
WN,HOU,SJC,9.11
WN,DEN,TPA,9.09
WN,MCI,LGA,9.09
WN,BUR,HOU,9.08
WN,IAD,MCO,9.07
WN,HNL,OAK,9.07
WN,DEN,OKC,9.06
WN,DCA,PVD,9.04
WN,MDW,PHL,9.02
WN,LAS,PHX,9.02
WN,BWI,LAX,9
WN,DAL,RSW,9
WN,PHX,PHL,9
WN,MDW,MHT,9
WN,DAL,MDW,8.98
WN,MCO,SAT,8.95
WN,ATL,MSY,8.95
WN,SNA,AUS,8.95
WN,LAS,MCO,8.95
WN,DEN,DTW,8.95
WN,LAS,ELP,8.94
WN,STL,PIT,8.93
WN,MSY,CMH,8.92
WN,MDW,MSP,8.92
WN,LGA,STL,8.91
WN,DAL,ABQ,8.89
WN,OMA,DAL,8.88
WN,SMF,LAX,8.87
WN,ABQ,LAX,8.85
WN,SMF,SEA,8.85
WN,OAK,TUS,8.79
WN,SFO,STL,8.78
WN,DEN,LBB,8.78
WN,MDW,SMF,8.77
WN,DEN,TUL,8.77
WN,DEN,SEA,8.77
WN,DCA,MSY,8.74
WN,ATL,CMH,8.74
WN,DEN,SLC,8.74
WN,MDW,MEM,8.73
WN,MDW,SLC,8.73
WN,ORF,SAN,8.73
WN,FLL,IND,8.72
WN,SEA,DAL,8.7
WN,DAL,LBB,8.7
WN,BWI,CLT,8.7
WN,PHX,BUF,8.66
WN,OAK,MSP,8.66
WN,DEN,IAD,8.66
WN,DEN,MKE,8.64
WN,ATL,TPA,8.64
WN,DAL,SJC,8.64
WN,LAS,LIT,8.63
WN,LAS,DAL,8.63
WN,MDW,CLT,8.62
WN,HOU,DCA,8.61
WN,DAL,STL,8.6
WN,MDW,ORF,8.6
WN,MDW,BWI,8.59
WN,LAX,PDX,8.58
WN,MSY,MCO,8.57
WN,STL,SJC,8.56
WN,SEA,MCI,8.55
WN,HOU,OAK,8.54
WN,TPA,LGA,8.53
WN,ATL,DTW,8.52
WN,LAS,IND,8.52
WN,ATL,MDW,8.51
WN,MCO,SJC,8.5
WN,LAX,AUS,8.5
WN,LAX,IND,8.49
WN,DAL,BOI,8.47
WN,HOU,ATL,8.46
WN,DEN,LAX,8.45
WN,CLT,BWI,8.43
WN,MDW,DAL,8.43
WN,SAN,SLC,8.42
WN,SEA,LAS,8.41
WN,MDW,AUS,8.41
WN,MSY,FLL,8.39
WN,PHX,OKC,8.39
WN,DEN,SMF,8.38
WN,ONT,SFO,8.37
WN,CLT,MDW,8.36
WN,STL,BDL,8.36
WN,MCO,PHL,8.36
WN,DAL,SAT,8.35
WN,HOU,MCO,8.35
WN,ORF,BNA,8.35
WN,BOI,DAL,8.35
WN,HOU,DAL,8.35
WN,MDW,JAX,8.34
WN,AUS,HOU,8.34
WN,DAL,OMA,8.34
WN,ELP,PHX,8.33
WN,SEA,BNA,8.33
WN,AUS,HRL,8.32
WN,ATL,PHX,8.3
WN,FLL,PVD,8.3
WN,LAS,MAF,8.27
WN,HOU,MEM,8.27
WN,MDW,ATL,8.27
WN,GRR,BWI,8.27
WN,BNA,RDU,8.26
WN,MDW,SAN,8.26
WN,MCO,MEM,8.26
WN,DEN,IND,8.23
WN,ATL,JAX,8.22
WN,STL,BWI,8.22
WN,MDW,MSY,8.21
WN,HOU,OKC,8.2
WN,SNA,MDW,8.2
WN,PHX,IND,8.2
WN,MDW,SDF,8.19
WN,MDW,RDU,8.19
WN,TPA,PVD,8.19
WN,MCI,BOS,8.18
WN,DAL,MCI,8.18
WN,STL,ICT,8.18
WN,ATL,HOU,8.17
WN,TUS,LAX,8.17
WN,MCO,ATL,8.15
WN,HOU,DEN,8.15
WN,LAS,BWI,8.15
WN,FLL,DAL,8.15
WN,BNA,PHL,8.14
WN,TPA,DAL,8.14
WN,TPA,PIT,8.14
WN,MDW,GRR,8.13
WN,MDW,PHX,8.12
WN,LAS,HOU,8.1
WN,MDW,PDX,8.09
WN,MCO,CMH,8.07
WN,LAS,STL,8.06
WN,DAL,MSY,8.05
WN,FLL,ISP,8.04
WN,PNS,MCI,8.04
WN,DEN,DAL,8.03
WN,DEN,MSP,8.02
WN,HOU,IND,8.02
WN,ECP,DAL,8.01
WN,LAS,OMA,8.01
WN,DAL,AMA,8
WN,PHX,DEN,7.99
WN,PHX,OMA,7.99
WN,CMH,BOS,7.98
WN,FLL,MDW,7.98
WN,HOU,SAT,7.98
