word,disgust,surprise,neutral,anger,sad,happy,fear
horndog , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287
hornet , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287
horns , 0.017857144 , 0.053571433 , 0.017857144 , 0.053571433 , 0.017857144 , 0.053571433 , 0.017857144
horny , 0.017857144 , 0.017857144 , 0.017857144 , 0.017857144 , 0.053571433 , 0.017857144 , 0.08928572
horoscope , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526 , 0.071428575 , 0.071428575
horoscopes , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287
horrend , 0.0020408165 , 0.0020408165 , 0.0020408165 , 0.0020408165 , 0.0020408165 , 0.0020408165 , 0.14081633
horrendous , 0.07232144 , 0.0026785717 , 8.928572E-4 , 8.928572E-4 , 0.004464286 , 0.0026785717 , 0.06339286
horrendously , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287
horribl , 0.0020408165 , 0.0020408165 , 0.0020408165 , 0.0020408165 , 0.0020408165 , 0.0020408165 , 0.14081633
horrible , 0.04049136 , 0.0031847137 , 4.5495908E-4 , 0.009554142 , 0.04140128 , 0.0077343043 , 0.042311195
horribleness , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287
horribly , 0.0012106538 , 0.0060532694 , 0.0012106538 , 0.020581115 , 0.023002423 , 0.0012106538 , 0.09564165
horrid , 0.073236905 , 0.0027124775 , 9.041592E-4 , 0.0027124775 , 0.0027124775 , 9.041592E-4 , 0.0641953
horridly , 0.0020408165 , 0.0020408165 , 0.0020408165 , 0.0020408165 , 0.0020408165 , 0.0020408165 , 0.14081633
horrif , 0.0020408165 , 0.0020408165 , 0.0020408165 , 0.0020408165 , 0.0020408165 , 0.0020408165 , 0.14081633
horrifi , 0.0020408165 , 0.0020408165 , 0.0020408165 , 0.0020408165 , 0.0020408165 , 0.0020408165 , 0.14081633
horrific , 0.073236905 , 9.041592E-4 , 9.041592E-4 , 0.004520796 , 0.0027124775 , 0.0027124775 , 0.062386982
horrified , 0.0010660981 , 0.03518124 , 0.0010660981 , 0.0010660981 , 0.0010660981 , 0.0031982944 , 0.10554371
horrify , 0.0020408165 , 0.0020408165 , 0.0020408165 , 0.0020408165 , 0.0020408165 , 0.0020408165 , 0.14081633
horrifying , 0.049636804 , 0.008474576 , 0.0012106538 , 0.0012106538 , 0.0012106538 , 0.0012106538 , 0.085956424
horrifyingly , 0.0020408165 , 0.0020408165 , 0.0020408165 , 0.0020408165 , 0.0020408165 , 0.0020408165 , 0.14081633
