,ID,Player,Team,G,GS,MPG,FGP,X3pp,FTP,A_OFF,A_DEF,A_TOT,APG,SPG,BPG,A_TO,A_PF,PPG,MIN,FGM,FGA,X3PM,X3PA,FTM,FTA,OFF,DEF,TOT,AST,STL,BLK,TO,PF,PTS,Region,Salary,kcuti$cluster
,,,,Austin Rivers,63,40.10%,2.1,6.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Boris Diaw,73,53.60%,2.7,6.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Brian Roberts,68,43.00%,3.3,5.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Courtney Lee (TOT),73,49.00%,1.4,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Danny Green,63,42.70%,1.5,4.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jeff Ayres,67,57.80%,0.8,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jrue Holiday,34,44.70%,7.9,9.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kawhi Leonard,61,51.70%,1.9,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kosta Koufos,75,50.00%,0.5,4.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Marc Gasol,53,46.20%,3.6,5.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Marco Belinelli,75,49.50%,2.3,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Mike Miller,76,47.20%,1.6,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Nick Calathes,65,46.20%,3,8.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Omri Casspi,65,42.30%,1.2,5.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Patty Mills,76,46.90%,1.8,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Terrence Jones,69,54.00%,1.1,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tiago Splitter,54,53.40%,1.6,5.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
