Airline,Origin,Destination,Total_Delay,Latitude_OR,Longitude_OR,Latitude_DEST,Longitude_DEST
WN,DAL,BUR,11.98,32.847099,-96.851799,34.20069885,-118.3590012
WN,LGA,MDW,11.91,40.77719879,-73.87259674,41.785999,-87.752403
WN,DCA,OKC,11.8,38.8521,-77.037697,35.39310074,-97.60070038
WN,LAX,PHX,11.73,33.94250107,-118.4079971,33.43429947,-112.012001
WN,MDW,BOS,11.73,41.785999,-87.752403,42.36429977,-71.00520325
WN,LAX,LAS,11.7,33.94250107,-118.4079971,36.08010101,-115.1520004
WN,SFO,SNA,11.69,37.61899948,-122.375,33.67570114,-117.8679962
WN,SFO,BUR,11.68,37.61899948,-122.375,34.20069885,-118.3590012
WN,PNS,AUS,11.66,30.47340012,-87.18659973,30.19449997,-97.66989899
WN,AUS,SFO,11.64,30.19449997,-97.66989899,37.61899948,-122.375
WN,SJC,GEG,11.64,37.362598,-121.929001,47.61989975,-117.5339966
WN,SEA,HOU,11.6,47.449001,-122.308998,29.64539909,-95.27890015
WN,HOU,BHM,11.59,29.64539909,-95.27890015,33.56290054,-86.75350189
WN,BNA,SJC,11.58,36.12450027,-86.67819977,37.362598,-121.929001
WN,DAL,HRL,11.56,32.847099,-96.851799,26.22850037,-97.65440369
WN,MDW,BUR,11.56,41.785999,-87.752403,34.20069885,-118.3590012
WN,LAS,MSP,11.53,36.08010101,-115.1520004,44.882,-93.221802
WN,DEN,JAX,11.53,39.86169815,-104.6729965,30.49410057,-81.68789673
WN,DAL,TPA,11.46,32.847099,-96.851799,27.97550011,-82.53320313
WN,LAX,SLC,11.42,33.94250107,-118.4079971,40.78839874,-111.9779968
WN,LGA,DEN,11.42,40.77719879,-73.87259674,39.86169815,-104.6729965
WN,SFO,PHX,11.41,37.61899948,-122.375,33.43429947,-112.012001
WN,LGA,MKE,11.4,40.77719879,-73.87259674,42.94720078,-87.89659882
WN,AUS,PNS,11.38,30.19449997,-97.66989899,30.47340012,-87.18659973
WN,DAL,DTW,11.34,32.847099,-96.851799,42.21239853,-83.35340118
WN,MDW,ONT,11.22,41.785999,-87.752403,34.05599976,-117.6009979
WN,EWR,DEN,11.21,40.69250107,-74.16870117,39.86169815,-104.6729965
WN,DAL,IND,11.19,32.847099,-96.851799,39.7173,-86.294403
WN,MDW,BHM,11.18,41.785999,-87.752403,33.56290054,-86.75350189
WN,MCO,OAK,11.18,28.42939949,-81.30899811,37.721298,-122.221001
WN,DEN,CMH,11.17,39.86169815,-104.6729965,39.998001,-82.891899
WN,MDW,OAK,11.16,41.785999,-87.752403,37.721298,-122.221001
WN,BNA,BOS,11.08,36.12450027,-86.67819977,42.36429977,-71.00520325
WN,DEN,PHL,11.06,39.86169815,-104.6729965,39.87189865,-75.2410965
WN,LAX,TUS,10.98,33.94250107,-118.4079971,32.11610031,-110.9410019
WN,TPA,ISP,10.97,27.97550011,-82.53320313,40.79520035,-73.10019684
WN,DAL,CLT,10.93,32.847099,-96.851799,35.2140007,-80.94309998
WN,DEN,RDU,10.91,39.86169815,-104.6729965,35.87760162,-78.78749847
WN,AUS,ECP,10.89,30.19449997,-97.66989899,30.357106,-85.795414
WN,AUS,SMF,10.89,30.19449997,-97.66989899,38.69540024,-121.5910034
WN,MDW,GEG,10.88,41.785999,-87.752403,47.61989975,-117.5339966
WN,MSY,PHX,10.87,29.99340057,-90.25800323,33.43429947,-112.012001
WN,HOU,TPA,10.86,29.64539909,-95.27890015,27.97550011,-82.53320313
WN,MDW,BDL,10.85,41.785999,-87.752403,41.93889999,-72.68319702
WN,LAX,HOU,10.85,33.94250107,-118.4079971,29.64539909,-95.27890015
WN,STL,LGA,10.82,38.748697,-90.370003,40.77719879,-73.87259674
WN,HOU,LAX,10.81,29.64539909,-95.27890015,33.94250107,-118.4079971
WN,LAX,SAT,10.76,33.94250107,-118.4079971,29.53370094,-98.46980286
WN,SJC,RDU,10.76,37.362598,-121.929001,35.87760162,-78.78749847
WN,LAS,SDF,10.75,36.08010101,-115.1520004,38.1744,-85.736
WN,LAX,MCI,10.74,33.94250107,-118.4079971,39.2976,-94.713898
WN,BWI,SEA,10.74,39.1754,-76.668297,47.449001,-122.308998
WN,RDU,DAL,10.72,35.87760162,-78.78749847,32.847099,-96.851799
WN,PHX,FLL,10.71,33.43429947,-112.012001,26.072599,-80.152702
WN,MSP,TPA,10.71,44.882,-93.221802,27.97550011,-82.53320313
WN,PHX,LAX,10.7,33.43429947,-112.012001,33.94250107,-118.4079971
WN,SJU,MDW,10.69,18.43939972,-66.00180054,41.785999,-87.752403
WN,MDW,ALB,10.64,41.785999,-87.752403,42.74829865,-73.80169678
WN,DEN,PIT,10.62,39.86169815,-104.6729965,40.49150085,-80.23290253
WN,ATL,LAX,10.59,33.6367,-84.428101,33.94250107,-118.4079971
WN,LAX,MKE,10.59,33.94250107,-118.4079971,42.94720078,-87.89659882
WN,SJC,LAX,10.58,37.362598,-121.929001,33.94250107,-118.4079971
WN,DAL,BHM,10.55,32.847099,-96.851799,33.56290054,-86.75350189
WN,MDW,SEA,10.55,41.785999,-87.752403,47.449001,-122.308998
WN,LAS,PHL,10.52,36.08010101,-115.1520004,39.87189865,-75.2410965
WN,LAS,SEA,10.51,36.08010101,-115.1520004,47.449001,-122.308998
WN,MCO,PHX,10.49,28.42939949,-81.30899811,33.43429947,-112.012001
WN,DAL,PHX,10.48,32.847099,-96.851799,33.43429947,-112.012001
WN,TPA,PHL,10.41,27.97550011,-82.53320313,39.87189865,-75.2410965
WN,DAL,DEN,10.41,32.847099,-96.851799,39.86169815,-104.6729965
WN,LAX,DAL,10.39,33.94250107,-118.4079971,32.847099,-96.851799
WN,BWI,BOS,10.38,39.1754,-76.668297,42.36429977,-71.00520325
WN,DAL,FLL,10.37,32.847099,-96.851799,26.072599,-80.152702
WN,BOS,MSY,10.35,42.36429977,-71.00520325,29.99340057,-90.25800323
WN,MSY,LAX,10.35,29.99340057,-90.25800323,33.94250107,-118.4079971
WN,SAN,TPA,10.35,32.73360062,-117.1900024,27.97550011,-82.53320313
WN,STL,PHL,10.34,38.748697,-90.370003,39.87189865,-75.2410965
WN,MSY,LGA,10.33,29.99340057,-90.25800323,40.77719879,-73.87259674
WN,BNA,BUR,10.32,36.12450027,-86.67819977,34.20069885,-118.3590012
WN,OAK,LAX,10.31,37.721298,-122.221001,33.94250107,-118.4079971
WN,DAL,LAX,10.29,32.847099,-96.851799,33.94250107,-118.4079971
WN,DAL,OKC,10.27,32.847099,-96.851799,35.39310074,-97.60070038
WN,SJC,SEA,10.23,37.362598,-121.929001,47.449001,-122.308998
WN,DAL,ATL,10.2,32.847099,-96.851799,33.6367,-84.428101
WN,MDW,BUF,10.19,41.785999,-87.752403,42.94049835,-78.73220062
WN,MCO,OKC,10.18,28.42939949,-81.30899811,35.39310074,-97.60070038
WN,HOU,ECP,10.16,29.64539909,-95.27890015,30.357106,-85.795414
WN,OAK,MCO,10.16,37.721298,-122.221001,28.42939949,-81.30899811
WN,DAL,SEA,10.14,32.847099,-96.851799,47.449001,-122.308998
WN,PHX,SAT,10.13,33.43429947,-112.012001,29.53370094,-98.46980286
WN,FLL,IAD,10.09,26.072599,-80.152702,38.94449997,-77.45580292
WN,LGA,MSY,10.08,40.77719879,-73.87259674,29.99340057,-90.25800323
WN,PHX,SEA,10.08,33.43429947,-112.012001,47.449001,-122.308998
WN,DAL,PIT,10.06,32.847099,-96.851799,40.49150085,-80.23290253
WN,TPA,DCA,10.06,27.97550011,-82.53320313,38.8521,-77.037697
WN,FLL,DCA,10.05,26.072599,-80.152702,38.8521,-77.037697
WN,DAL,MCO,10.03,32.847099,-96.851799,28.42939949,-81.30899811
WN,DAL,LIT,10.01,32.847099,-96.851799,34.72940063,-92.22429657
WN,RDU,PHX,9.97,35.87760162,-78.78749847,33.43429947,-112.012001
WN,HOU,CHS,9.97,29.64539909,-95.27890015,32.89860153,-80.04049683
WN,DAL,SLC,9.96,32.847099,-96.851799,40.78839874,-111.9779968
WN,MSY,OAK,9.95,29.99340057,-90.25800323,37.721298,-122.221001
WN,MCO,SJU,9.95,28.42939949,-81.30899811,18.43939972,-66.00180054
WN,RSW,DAL,9.93,26.53619957,-81.75520325,32.847099,-96.851799
WN,BNA,LGA,9.91,36.12450027,-86.67819977,40.77719879,-73.87259674
WN,ATL,OAK,9.9,33.6367,-84.428101,37.721298,-122.221001
WN,ELP,LAX,9.89,31.80719948,-106.3779984,33.94250107,-118.4079971
WN,BNA,CLT,9.88,36.12450027,-86.67819977,35.2140007,-80.94309998
WN,TPA,MEM,9.88,27.97550011,-82.53320313,35.04240036,-89.97669983
WN,CMH,DCA,9.87,39.998001,-82.891899,38.8521,-77.037697
WN,LAX,MSY,9.85,33.94250107,-118.4079971,29.99340057,-90.25800323
WN,MDW,FLL,9.81,41.785999,-87.752403,26.072599,-80.152702
WN,FLL,CMH,9.8,26.072599,-80.152702,39.998001,-82.891899
WN,LAX,STL,9.79,33.94250107,-118.4079971,38.748697,-90.370003
WN,SEA,MKE,9.78,47.449001,-122.308998,42.94720078,-87.89659882
WN,DAL,HOU,9.77,32.847099,-96.851799,29.64539909,-95.27890015
WN,FLL,SJU,9.77,26.072599,-80.152702,18.43939972,-66.00180054
WN,HOU,MKE,9.75,29.64539909,-95.27890015,42.94720078,-87.89659882
